name,email,notes,ref_row,type,date_in,medium,high,amount,usd,iou,iouusd,crypto1,hash,amount,rate,current_value,perc_difference,crypto2,hash,amount,rate,current_value,perc_difference,crypto3,hash,amount,rate,current_value,perc_difference,cumold,cumcur,perc_difference,diff
a,a@gmail.com,,,B,17/05/21,1268,317,250,317,1000,1268,BTC,0.2012698413,422.6666667,2100,810.1111111,191.6666667,ETH,3.302083333,422.6666667,128,960.90625,227.34375,ANS,1232.777778,739.6666667,0.6,24655.55556,3333.333333,1585,26426.57292,1667.291667,24841.57292
b,b@gmail.com,,,B,17/05/21,634,0,0,0,500,634,BTC,0.1006349206,211.3333333,2100,405.0555556,191.6666667,ETH,1.651041667,211.3333333,128,480.453125,227.34375,ANS,352.2222222,211.3333333,0.6,7044.444444,3333.333333,634,7929.953125,1250.78125,7295.953125
b,b@gmail.com,,,B,17/06/12,634,0,,0,500,634,BTC,0.08128205128,211.3333333,2600,327.1602564,154.8076923,ETH,0.6038095238,211.3333333,350,175.7085714,83.14285714,ANS,176.1111111,211.3333333,1.2,3522.222222,1666.666667,634,4025.09105,634.8724054,3391.09105
c,c@gmail.com,,,B,17/05/24,570.5,0,250,317,200,253.5,BTC,0.09055555556,190.1666667,2100,364.4861111,191.6666667,ETH,1.485677083,190.1666667,128,432.3320313,227.34375,ANS,316.9444444,190.1666667,0.6,6338.888889,3333.333333,570.5,7135.707031,1250.78125,6565.207031
d,d@hotmail.com,,,B,17/05/29,2218,0,1750,0,0,2218,BTC,0.3520634921,739.3333333,2100,1417.055556,191.6666667,ETH,5.776041667,739.3333333,128,1680.828125,227.34375,ANS,1232.222222,739.3333333,0.6,24644.44444,3333.333333,2218,27742.32813,1250.78125,25524.32813
e,e85@gmail.com,,,B,17/05/30,2535,0,0,0,2000,2535,BTC,0.4023809524,845,2100,1619.583333,191.6666667,ETH,6.6015625,845,128,1921.054688,227.34375,ANS,1408.333333,845,0.6,28166.66667,3333.333333,2535,31707.30469,1250.78125,29172.30469
f,f@gmail.com ,,,B,17/05/29,754,0,1000AUD,754,0,0,BTC,0.1196825397,251.3333333,2100,481.7222222,191.6666667,ETH,1.963541667,251.3333333,128,571.390625,227.34375,ANS,418.8888889,251.3333333,0.6,8377.777778,3333.333333,754,9430.890625,1250.78125,8676.890625
g,g@v.org.uk ,,,B,17/04/29,0,253.5,200,253.5,0,0,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,1036.2694,253.5,0.25,20725.388,8000,253.5,20725.388,8175.695464,20471.888
h,h@gmail.com,,,B,17/05/21,6337,0,0,0,5000,6337,BTC,1.005873016,2112.333333,2100,4048.638889,191.6666667,ETH,16.50260417,2112.333333,128,4802.257813,227.34375,ANS,3520.555556,2112.333333,0.6,70411.11111,3333.333333,6337,79262.00781,1250.78125,72925.00781
i,i@gmail.com,,,B,17/05/21,6337,0,0,0,5000,6337,BTC,1.005873016,2112.333333,2100,4048.638889,191.6666667,ETH,16.50260417,2112.333333,128,4802.257813,227.34375,ANS,3520.555556,2112.333333,0.6,70411.11111,3333.333333,6337,79262.00781,1250.78125,72925.00781
